Material,Lay-up,"Vf, %",Resin Type,Resin,0 Deg fabric name,45 Deg fabric name,45 Deg fabric %,90 Deg fabric name,90 Deg fabric %,other %,"Thickness, mm",Cure / Post Cure,Process,Test #,Coupon,"Max. Stress, MPa","Min. Stress, MPa",R-value,"Freq., Hz or mm/s","E, GPa (0.1-0.3%)",Max. % Strain,Cycles,"Moisture Gain, %",Contractor report,Conference Paper
MD-DD11P-UP2-Enviro,[0/±45/0]S,36.0,UP2,CoRezyn 63-AX-051,Knytex A130 (444 gsm),Knytex DB120 (393 gsm),32,0,0,0,3.19,"24h/20C, 2h/60C",RTM,5832,A6036,,-222.0,,,,,1.0,,R4,C13
MD-DD11P-UP2-Enviro,[0/±45/0]S,36.0,UP2,CoRezyn 63-AX-051,Knytex A130 (444 gsm),Knytex DB120 (393 gsm),32,0,0,0,3.19,"24h/20C, 2h/60C",RTM,5833,A5911,,-249.0,,,,,1.0,,R4,C13
MD-DD11P-UP2-Enviro,[0/±45/0]S,36.0,UP2,CoRezyn 63-AX-051,Knytex A130 (444 gsm),Knytex DB120 (393 gsm),32,0,0,0,3.19,"24h/20C, 2h/60C",RTM,5834,A5951,,-251.0,,,,,1.0,,R4,C13
MD-DD11P-UP2-Enviro,[0/±45/0]S,36.0,UP2,CoRezyn 63-AX-051,Knytex A130 (444 gsm),Knytex DB120 (393 gsm),32,0,0,0,3.19,"24h/20C, 2h/60C",RTM,5835,A6259,,-270.0,,,,,1.0,,R4,C13
MD-DD11P-UP2-Enviro,[0/±45/0]S,36.0,UP2,CoRezyn 63-AX-051,Knytex A130 (444 gsm),Knytex DB120 (393 gsm),32,0,0,0,3.19,"24h/20C, 2h/60C",RTM,5836,A6079,,-232.0,,,,,1.0,,R4,C13
MD-DD11P-UP2-Enviro,[0/±45/0]S,36.0,UP2,CoRezyn 63-AX-051,Knytex A130 (444 gsm),Knytex DB120 (393 gsm),32,0,0,0,3.19,"24h/20C, 2h/60C",RTM,5837,A6420,,-264.0,,,,,1.0,,R4,C13
MD-DD11P-UP2-Enviro,[0/±45/0]S,36.0,UP2,CoRezyn 63-AX-051,Knytex A130 (444 gsm),Knytex DB120 (393 gsm),32,0,0,0,3.19,"24h/20C, 2h/60C",RTM,5838,A6056,,-233.0,,,,,1.0,,R4,C13
MD-DD5P-UP2-Enviro,[0/±45/0]S,36.0,UP2,CoRezyn 63-AX-051,Knytex D155 (527 gsm),Knytex DB120 (393 gsm),28,0,0,0,3.13,"24h/20C, 2h/60C",RTM,4880,DD5P820,310.0,31.0,0.1,3.0,21.6,1.62,178431.0,,R4,C13
MD-DD5P-UP2-Enviro,[0/±45/0]S,36.0,UP2,CoRezyn 63-AX-051,Knytex D155 (527 gsm),Knytex DB120 (393 gsm),28,0,0,0,3.13,"24h/20C, 2h/60C",RTM,4881,DD5P816,310.0,31.0,0.1,3.0,20.8,1.64,233742.0,,R4,C13
MD-DD5P-UP2-Enviro,[0/±45/0]S,36.0,UP2,CoRezyn 63-AX-051,Knytex D155 (527 gsm),Knytex DB120 (393 gsm),28,0,0,0,3.13,"24h/20C, 2h/60C",RTM,4882,DD5P816,310.0,31.0,0.1,3.0,21.1,1.52,246075.0,,R4,C13
